med_event_ID,conflict_country,conflict_counry_ID,conflict_id,med_location - MULTISELECT,med_loc_cty,med_loc_x,med_loc_y,Day,Month,Year,third_party,third_party_id_GLOPAD,third_party_id,third_party_id_PAX,num_med,med_scope,ind_named_id,individual_med_named,groupings_mechanisms,local_parties,local_party_id,local_indiv_group,num_local,if_loc_belig,agmt,agmt_name,agmt_id_PAX,Summary,source_urls,shuttle,med_type
YEM201802-1,Yemen,678,,Riyadh,SAU,46.7167,24.6333,1,2,2018,Saudi Arabia; UK,CON_419;CON_19,CON_419;CON_19,670;200,2,H,indnam81,Boris Johnson,,,,,0,,0,,,"On Thursday Johnson will travel to Saudi Arabia where he will meet Saudi Crown Prince Mohammed bin Salman, according to a statement issued by the British Foreign & Commonwealth Office (FCO). The visit to Saudi Arabia will be an opportunity to discuss the crisis in Yemen and countering Iran’s destabilizing activity in the region, while reiterating the importance of the Iranian nuclear deal for the UK and KSA’s shared security interests, the FCO said.",http://www.arabnews.com/node/1232526/middle-east,0,MR
SUD201802-2,Sudan,625,,Addis Ababa,ETH,38.74,9.03,3,2,2018,African Union,IGO_87,IGO_87,,1,H,indnam497,Thabo Mbeki,AUHIP Process,SLM/A-Minnawi: Sudan Liberation Movement/Army ; Sudan Revolutionary Front; Sudan Call,265; NL; NL,,2+,1,0,,,"Sudan’s Revolutionary Front has said that the momentum, concepts, and motives behind the signing of the AU High-level Implementation Panel (AUHIP) road map with the government in Addis Ababa in 2017 have now changed.Speaking after a meeting in the Ethiopian capital with AUHIP led by former South African President Thambo Mbeki on Saturday, the head of the Revolutionary Front and the Sudan Liberation Movement (SLM-MM), Minni Minnawi, told Radio Dabanga that the map, its bases, and the way we have all landed have changed.He said that “the road map is still favourable to the road map's signatories to the second part of the national dialogue which is the constitutional aspect in it”.Minnawi stressed that “the national dialogue that we have outlined in the map is not the national dialogue led by the National Congress.”He pointed out that the forces of Sudan Call (also referred to as Sudan Appeal), the Sudan Revolutionary Front, and the Sudan Liberation SLM-MM have a clear and declared position.He said a meeting would be held in the next few weeks without specifying its venue.Minnawi added that the forces of Sudan Call and the Sudan Revolutionary Front are ready to talk about the roadmap after that we will hear all those interested in the Sudanese cause and anyone who wants to understand.Government delegationThe Sudanese government delegation to Addis Ababa called on the opposition to join the peace process in order to participate in the constitutional arrangements for the 2020 elections.On Saturday, Darfur negotiator for the government, Dr Amin Hassan Omar said after the government delegation met with African mediators in Addis Ababa: “The time is tight and the draft constitution has to be agreed upon since the elected Parliament in 2020 would approve this draft.”He said that the election begins with the formation of the Electoral Commission and the issuance of the election act before them, which are subject to consultation with all the parties and if they want to be part of this process, they must be a party to the peace process.He pointed out that there is still an opportunity for the signatories to the road map to join the second part of the national dialogue represented in the constitutional aspect.",https://www.dabangasudan.org/en/all-news/article/sudan-s-revolutionary-front-momentum-concepts-and-motives-behind-signing-auhip-road-map-have-now-changed,0,M
YEM201802-2,Yemen,678,,Tehran,IRN,51.3889,35.6892,12,2,2018,Iran (Islamic Republic of),NM,NM,NM,1,P,indnam201,Hossein Jaberi Ansari,,Ansar Allah,NL,,1,1,0,,,Iran discusses political solutions to conflict with Ansarallah... They also discussed efforts to find a political solution to the conflict among Yemeni political groups.,https://www.globalsecurity.org/military/library/news/2018/02/mil-180213-presstv01.htm,0,MR
SUD201802-3,Sudan,625,,N'Djamena,TCD,15.05,12.11,13,2,2018,Chad,CON_157,CON_157,483,1,H,,,,SPLM/A-North - MA,6792,,1,1,0,,,"February 23, 2018 (KHARTOUM) - The Sudan People’s Liberation Movement/North (SPLM-N Agar) led by Malik Agar said it has discussed with the Chadian President Idris Deby efforts to achieve peace in Sudan.In a statement seen by Sudan Tribune Friday, SPLM-N Agar spokesperson said a delegation including the Movement chairman Malik Agar, deputy chairman Yasser Arman and member of the leadership council Jar al-Nabi Abas visited N’Djamena from 13 to 22 February.He pointed out that the delegation met with President Deby and a number of the Chadian officials.According to Ardol, Deby expressed readiness to support all efforts to achieve peace in Sudan, stressing he doesn’t lead mediation initiative but respects and supports existing efforts.",https://reliefweb.int/report/sudan/splm-n-agar-chad-s-deby-discuss-sudan-s-peace,0,MR
YEM201802-3,Yemen,678,,unknown,,,,,2,2018,OSESG-Yemen; GCC,IGO_990;IGO_540,IGO_990;IGO_540,;,2,P,indnam392,Ould Cheikh Ahmed,UN Process,,,,0,,0,,,"During the past few weeks, I have visited several countries in the region, as well as the Gulf Cooperation Council Secretariat. They are fully aware of the importance of a peaceful solution to this conflict to stabilize the region and fight terrorism.",https://osesgy.unmissions.org/sites/default/files/feb_2018_secco_briefing_eng.pdf,0,MR
YEM201802-4,Yemen,678,,unknown,,,,,2,2018,United Arab Emirates; Saudi Arabia,CON_591;CON_419,CON_591;CON_419,696;670,2,P,,,,STC: Southern Transitional Council; Yemen (2012-2022) Hadi,ACLED;ACLED,,2+,1,1,Southern Transitional Council and Hadi Government Truce,,"After United Arab Emirates (UAE)-aligned separatist Southern Transition Council (STC) took control of Aden from govt forces late Jan, UAE and Saudi Arabia imposed truce; STC is demanding changes to govt, to have input on appointment of local officials in south and to take part in any UN-led peace talks.",https://www.crisisgroup.org/crisiswatch/database?location_region%5B%5D=81&location%5B%5D=90&crisis_state=&created=custom&from_month=2&from_year=2018&to_month=2&to_year=2018,0,M
SUD201803-1,Sudan,625,,Khartoum,SDN,32.5,15.6,11,3,2018,Qatar,CON_486,CON_486,694,1,P,indnam352,Mohammed Bin Abdulrahman Bin Jassim Al-Thani,Doha Document for Peace in Darfur,Sudan,112,,1,1,0,,,"On March 11, 2018, Sudan and Qatar engaged in discussions concerning their commitment to peace in Darfur and the ongoing peace process. Sudanese President Omar al-Bashir met with Qatar's Deputy Prime Minister and Minister of Foreign Affairs, Mohamed Bin Abdulrahman al-Thani, in Khartoum. Following their meeting, al-Thani announced that they had discussed the commitment to Darfur peace and the follow-up on the peace process, expressing satisfaction with the willingness of various groups to join the agreement. He emphasized that the Doha Agreement remains the essential pathway to peace in Darfur.Sudanese Foreign Minister Ibrahim Ghandour added that the discussions also covered the finalization of Doha documents, particularly those related to the reconstruction of Darfur. In addition, Qatar and Sudan agreed to form a joint consultative committee to facilitate political consultations and review bilateral relations, with meetings planned twice a year.Sheikh Mohammed delivered a message from the Emir of Qatar, HH Sheikh Tamim bin Hamad al-Thani, to President al-Bashir, focusing on enhancing bilateral relations. This was the second letter from the Emir received by the Sudanese President in less than two weeks. Sheikh Mohammed expressed contentment with the progress of the peace process and the interest of armed groups in joining it.",http://www.xinhuanet.com/english/2018-03/12/c_137032184.htm;http://www.qatar-tribune.com/news-details/id/115847,0,MR
YEM201803-1,Yemen,678,,Oman,OMN,57,21,17,3,2018,Oman,CON_606,CON_606,698,1,P,,,,Saudi Arabia; Ansar Allah,122; NL,,2+,1,0,,,"Secret talks between KSA and Ansar Allah in Oman… “There are consultations between the Houthis and the Saudis, without a representative of the internationally recognised government, and it is clear that there is a desire of the Houthis and the coalition to go toward a comprehensive agreement,” one diplomat told Reuters.",https://www.thenews.com.pk/print/293573-yemen-s-houthis-saudi-arabia-in-secret-talks-to-end-war,0,M
SUD201803-2,Sudan,625,,Khartoum,SDN,32.5,15.6,20,3,2018,UN Secretary General,IGO_386,IGO_386,,1,P,indnam380,Nicholas Haysom,AUHIP Process,Sudan,112,,1,1,0,,,"The UN Secretary-General’s envoy to Sudan and South Sudan, Nicholas Haysom, has pledged to coordinate with the African Union High-level Implementation Panel (AUHIP) to persuade the Sudan People's Liberation Movement-North (SPLM-N), led by Abdelaziz El Hilu, to sign a truce agreement. Following talks in Khartoum with Foreign Minister Ibrahim Ghandour, Haysom stated that he would continue working with AUHIP to urge SPLM-N leaders towards a cessation of hostilities, a permanent ceasefire, and ultimately a political settlement.",https://www.dabangasudan.org/en/all-news/article/sudan-un-envoy-will-try-to-entice-splm-n-rebels-to-truce;http://allafrica.com/stories/201803230214.html,0,MR
YEM201803-2,Yemen,678,,Arlington,USA,-77.1011,38.8786,23,3,2018,United States; Saudi Arabia,CON_3;CON_419,CON_3;CON_419,2;670,2,H,indnam220;indnam353,James Mattis; Mohammed Bin Salman,,,,,0,,0,,,"Jim Mattis and MbS discuss peace in Yemen. ""We must also reinvigorate urgent efforts to seek a peaceful resolution to the civil war in Yemen and we support you in this regard,"" Mattis said.Asked by reporters at the start of his talks whether he would raise the issue of civilian casualties in Yemen, Mattis said: ""We are going to end this war, that is the bottom line. And we are going to end it on positive terms for the people of Yemen, but also security for the nations in the peninsula.""",http://jordantimes.com/news/region/mattis-tells-saudi-leader-urgent-need-find-end-yemens-war;http://nationalinterest.org/feature/will-yemens-houthis-stop-fighting-exchange-political-victory-25220,0,MR
YEM201803-3,Yemen,678,,Sanaa,YEM,44.2064,15.3483,23,3,2018,OSESG-Yemen,IGO_990,IGO_990,,1,P,indnam312,Martin Griffiths,UN Process,Ansar Allah,NL,,1,1,0,,,"New OSESG-Y chief, Martin Griffiths, visits Sanaa to talk peace negotiations with Ansar Allah. The UN's new envoy for Yemen held talks with Houthi rebel leaders in Sanaa as he made his first official visit to the country in an attempt to end a bitter war that is entering its fourth year",https://www.thenational.ae/world/mena/new-un-envoy-visits-sanaa-in-first-official-trip-to-yemen-1.715790;https://www.securitycouncilreport.org/whatsinblue/2018/04/yemen-first-briefing-by-special-envoy.php,1,M
YEM201803-4,Yemen,678,,Oman,OMN,57,21,25,3,2018,OSESG-Yemen; Oman,IGO_990;CON_606,IGO_990;CON_606,;698,2,P,indnam312,Martin Griffiths,UN Process,,,,0,,0,,,"Griffiths has since visited Riyadh, Sana’a, Oman and the United Arab Emirates (UAE). He also attended the 3 April Yemen donor conference in Geneva. His visit to Sana’a was the first time in nearly a year that the UN’s envoy had traveled to the Yemeni capital, as the Houthi rebel group refused to meet with Giffiths’ predecessor Ismail Ould Cheikh Ahmed for much of 2017, accusing of him of bias.",https://www.securitycouncilreport.org/whatsinblue/2018/04/yemen-first-briefing-by-special-envoy.php,0,MR
YEM201803-5,Yemen,678,,Riyadh,SAU,46.7167,24.6333,25,3,2018,OSESG-Yemen; Saudi Arabia,IGO_990;CON_419,IGO_990;CON_419,;670,2,P,indnam312,Martin Griffiths,UN Process,Yemen (2012-2022) Hadi,ACLED,,1,1,0,,,"Griffiths has since visited Riyadh, Sana’a, Oman and the United Arab Emirates (UAE). He also attended the 3 April Yemen donor conference in Geneva. His visit to Sana’a was the first time in nearly a year that the UN’s envoy had traveled to the Yemeni capital, as the Houthi rebel group refused to meet with Giffiths’ predecessor Ismail Ould Cheikh Ahmed for much of 2017, accusing of him of bias.",,0,MR
YEM201803-6,Yemen,678,,United Arab Emirates,ARE,54,24,25,3,2018,OSESG-Yemen; UAE,IGO_990;CON_591,IGO_990;CON_591,;696,2,P,indnam312,Martin Griffiths,UN Process,,,,0,,0,,,"Griffiths has since visited Riyadh, Sana’a, Oman and the United Arab Emirates (UAE). He also attended the 3 April Yemen donor conference in Geneva. His visit to Sana’a was the first time in nearly a year that the UN’s envoy had traveled to the Yemeni capital, as the Houthi rebel group refused to meet with Giffiths’ predecessor Ismail Ould Cheikh Ahmed for much of 2017, accusing of him of bias.",https://www.securitycouncilreport.org/whatsinblue/2018/04/yemen-first-briefing-by-special-envoy.php,0,MR
SUD201803-3,Sudan,625,,London,CAN,-81.2497,42.9836,,3,2018,United Kingdom,CON_19,CON_19,200,1,P,indnam192,Henry Bellingham,AUHIP Process,Sudan Call,NL,,1,1,0,,,"El Sadig El Mahdi, leader of the National Umma Party (NUP) and chairman of the Sudan Call, met with representatives of the British All-Party Parliamentary Group on Sudan and South Sudan last week.El Mahdi travelled to London following his recent election as the new chairman of the Sudan Call, an alliance of Sudanese opposition groups, in Paris early last week.The All-Party Parliamentary Group, chaired by Sir Henry Bellingham, reported in a press statement on Friday, that the two parties met in the House of Lords. They discussed “a wide range of topics, including the AUHIP Roadmap process, the protests and ongoing detentions in Sudan, and the bilateral relationship”.",https://www.dabangasudan.org/en/all-news/article/uk-parliamentary-group-meets-sudan-call-chairman,0,MR
YEM201804-1,Yemen,678,,Geneva,CHE,6.1469,46.2017,3,4,2018,OSESG-Yemen; Sweden; Diplomatic Community; Switzerland,IGO_990;CON_593;GP-19;CON_202,IGO_990;CON_593;;CON_202,;380;;225,4,H,indnam312,Martin Griffiths,UN Process,,,,0,,0,,,"Co-hosted by the United Nations, Switzerland and Sweden, the High-Level Pledging Event for the Humanitarian Crisis in Yemen was held in Geneva on 3 April. The event brought together participants from 64 Member States, regional organizations, UN agencies, international nongovernmental organizations (INGOs) and Yemeni national NGOs",https://reliefweb.int/report/yemen/yemen-humanitarian-update-covering-4-9-april-2018-issue-10-enar;https://www.theguardian.com/global-development/2018/apr/03/saudi-arabia-united-arab-emirates-pledge-nearly-1bn-aid-yemen-un-conference,0,MR
SUD201804-1,Sudan,625,,Khartoum,SDN,32.5,15.6,7,4,2018,UN; African Union; UNAMID,IGO_49;IGO_87;IGO_950,IGO_49;IGO_87;IGO_950,;;,3,P,indnam229;indnam466,Jean-Pierre Lacroix; Smail Chergui,UNAMID,Sudan,112,,1,1,0,,,"""From April 7 to 13, 2018, a joint visit was conducted by UN Under-Secretary-General for Peacekeeping Operations Jean-Pierre Lacroix and AU Commissioner for Peace and Security Smail Chergui to Sudan and the Central African Republic. This visit aimed to strengthen the partnership between the United Nations (UN) and the African Union (AU), in line with the priorities set by UN Secretary-General António Guterres and AU Commission Chairperson Moussa Faki Mahamat.....In Sudan, from April 7 to 10, Lacroix and Chergui held discussions with various stakeholders, including Sudanese Foreign Minister Ibrahim Ghandour. They attended the 25th meeting of the Tripartite Coordination Mechanism on April 8, which includes representatives from the Government of Sudan, the AU, and the UN. The visit also involved engaging with community leaders at a displaced persons camp near El Fasher, North Darfur. Key topics of discussion included the overall situation in Darfur, the ongoing reconfiguration of the African Union-United Nations Hybrid Operation in Darfur (UNAMID), and other operational challenges faced by the mission. Following their visit to Sudan, Lacroix and Chergui traveled to the Central African Republic from April 11 to 13 to further reinforce the cooperation between the UN and AU in peacekeeping and stabilization efforts in the region.....On April 18, 2018, Lacroix and Chergui briefed the UN Security Council in an informal interactive dialogue about the outcomes and observations from their visit. They discussed the progress and challenges of peacekeeping missions in both Sudan and the Central African Republic, highlighting their efforts to enhance the effectiveness of peacekeeping operations and to fortify the UN-AU partnership in addressing regional conflicts and crises.""",http://www.securitycouncilreport.org/monthly-forecast/2018-05/sudan_darfur_37.php;https://www.dabangasudan.org/en/all-news/article/coordination-mechanism-on-unamid-situation-in-darfur-improved-significantly;https://www.africa-newsroom.com/press/note-to-correspondents-on-joint-united-nationsafrican-union-visit-to-sudan-central-african-republic-and-ethiopia;https://reliefweb.int/report/sudan/coordination-mechanism-unamid-situation-darfur-improved-significantly,0,MR
YEM201804-2,Yemen,678,,Oman,OMN,57,21,8,4,2018,OSESG-Yemen; Oman,IGO_990;CON_606,IGO_990;CON_606,;698,2,P,indnam312;indnam540,Martin Griffiths; Yousef Bin Alawi Bin Abdullah,UN Process; Oman process (Saudi Arabia and Ansarallah),,,,0,,0,,,"Oman, OSESG-Y discuss political solutions to Yemen conflict.",https://www.albawaba.com/news/un-envoy-says-oman-plays-pivotal-role-helping-yemeni-people-could-find-solution-conflict-111458,0,MR
SUD201804-2,Sudan,625,,El Fasher,SDN,25.35,13.6306,10,4,2018,UN; African Union; UNAMID,IGO_49;IGO_87;IGO_950,IGO_49;IGO_87;IGO_950,;;,3,P,indnam229;indnam466,Jean-Pierre Lacroix; Smail Chergui,UNAMID,Refugees/IDPs,NL,,1,1,0,,,"From April 7 to 13, 2018, a joint visit was conducted by UN Under-Secretary-General for Peacekeeping Operations Jean-Pierre Lacroix and AU Commissioner for Peace and Security Smail Chergui to Sudan and the Central African Republic. This visit aimed to strengthen the partnership between the United Nations (UN) and the African Union (AU), in line with the priorities set by UN Secretary-General António Guterres and AU Commission Chairperson Moussa Faki Mahamat.In Sudan, from April 7 to 10, Lacroix and Chergui held discussions with various stakeholders, including Sudanese Foreign Minister Ibrahim Ghandour. They attended the 25th meeting of the Tripartite Coordination Mechanism on April 8, which includes representatives from the Government of Sudan, the AU, and the UN. The visit also involved engaging with community leaders at a displaced persons camp near El Fasher, North Darfur. Key topics of discussion included the overall situation in Darfur, the ongoing reconfiguration of the African Union-United Nations Hybrid Operation in Darfur (UNAMID), and other operational challenges faced by the mission.Following their visit to Sudan, Lacroix and Chergui traveled to the Central African Republic from April 11 to 13 to further reinforce the cooperation between the UN and AU in peacekeeping and stabilization efforts in the region.On April 18, 2018, Lacroix and Chergui briefed the UN Security Council in an informal interactive dialogue about the outcomes and observations from their visit. They discussed the progress and challenges of peacekeeping missions in both Sudan and the Central African Republic, highlighting their efforts to enhance the effectiveness of peacekeeping operations and to fortify the UN-AU partnership in addressing regional conflicts and crises.",http://www.securitycouncilreport.org/monthly-forecast/2018-05/sudan_darfur_37.php;https://reliefweb.int/report/sudan/un-under-secretary-general-peacekeeping-operations-and-au-commissioner-peace-and,0,MR
